,lang,f1,recall,precision
76,zho_Hant,0.593391773432232,0.43478260869565216,0.9341825902335457
67,bos_Latn,0.596141879278158,0.4733201581027668,0.8050420168067227
33,hrv_Latn,0.7335243553008597,0.8853754940711462,0.6261355695317959
45,kam_Latn,0.7581139007960809,0.6116600790513834,0.9967793880837359
18,zho_Hans,0.8689505165851006,0.7895256916996047,0.966142684401451
68,swh_Latn,0.8857768052516412,1.0,0.7949725058915946
16,zsm_Latn,0.9520444220090862,0.9318181818181818,0.9731682146542827
23,nya_Latn,0.9542217700915565,0.9268774703557312,0.9832285115303984
74,ind_Latn,0.9553956834532373,0.9841897233201581,0.9282385834109972
96,kea_Latn,0.9609856262833676,0.924901185770751,1.0
103,macro avg,0.9808341813065393,0.9781736805394095,0.9879525644406942
104,weighted avg,0.9808341813065393,0.9781736805394095,0.9879525644406941
95,xho_Latn,0.9812992125984252,0.9851778656126482,0.9774509803921568
102,micro avg,0.9825522556537308,0.9781736805394095,0.9869702064435408
6,fuv_Latn,0.9844611528822056,0.9703557312252964,0.9989827060020345
10,umb_Latn,0.9845540607872446,0.9762845849802372,0.992964824120603
29,zul_Latn,0.9847815414825725,0.991106719367589,0.9785365853658536
100,jpn_Jpan,0.9851337958374629,0.9822134387351779,0.9880715705765407
72,pes_Arab,0.990049751243781,0.983201581027668,0.996993987975952
30,por_Latn,0.9921491658488716,0.9990118577075099,0.9853801169590644
42,vie_Latn,0.9921568627450981,1.0,0.9844357976653697
73,ast_Latn,0.9925999013320179,0.9940711462450593,0.9911330049261083
21,deu_Latn,0.9926434526728788,1.0,0.98539435248296
91,eng_Latn,0.9926434526728788,1.0,0.98539435248296
26,nob_Latn,0.9930830039525692,0.9930830039525692,0.9930830039525692
13,dan_Latn,0.9950495049504952,0.9930830039525692,0.9970238095238095
88,wol_Latn,0.996031746031746,0.9920948616600791,1.0
28,glg_Latn,0.9960474308300395,0.9960474308300395,0.9960474308300395
87,lug_Latn,0.9960552268244576,0.9980237154150198,0.9940944881889764
17,spa_Latn,0.9960591133004927,0.9990118577075099,0.9931237721021611
19,lin_Latn,0.9965432098765432,0.9970355731225297,0.9960513326752222
34,sna_Latn,0.9965534219596258,1.0,0.9931305201177625
11,nso_Latn,0.9970267591674926,0.9940711462450593,1.0
27,ita_Latn,0.9970414201183431,0.9990118577075099,0.9950787401574803
44,fra_Latn,0.9975333004440058,0.9990118577075099,0.9960591133004926
3,hau_Latn,0.9975333004440058,0.9990118577075099,0.9960591133004926
90,nld_Latn,0.9975357318876293,1.0,0.9950835791543756
50,arb_Arab,0.9975357318876293,1.0,0.9950835791543756
0,pol_Latn,0.9975357318876293,1.0,0.9950835791543756
15,hun_Latn,0.9975357318876293,1.0,0.9950835791543756
