language,speech_prediction,speech_probability,text_prediction,text_probability,asr_prediction,asr_probability
cmn,cmn,0.9994376301765442,zho,0.9999692440032959,ces,0.408985435962677
cmn,cmn,0.9998428821563721,zho,0.9375218152999878,tur,0.4378834366798401
cmn,cmn,0.9997013211250305,yue,0.9589967727661133,jpn,0.10963548719882965
cmn,cmn,0.9998880624771118,yue,0.9985091686248779,deu,0.08200442790985107
cmn,cmn,0.9997599720954895,yue,1.0000100135803223,est,0.7243328094482422
cmn,cmn,0.9996563196182251,yue,1.0000100135803223,swe,0.19628475606441498
cmn,cmn,0.9992315769195557,yue,1.0000098943710327,azj,0.1164497435092926
cmn,cmn,0.9998016953468323,zho,0.6619797945022583,lmo,0.18112002313137054
cmn,cmn,0.9995331764221191,yue,0.8895007967948914,eus,0.09624254703521729
cmn,cmn,0.9993558526039124,yue,1.000009536743164,kor,0.07554009556770325
cmn,cmn,0.999707043170929,yue,1.0000054836273193,deu,0.16648302972316742
cmn,cmn,0.9998278617858887,yue,0.9967565536499023,tur,0.39402279257774353
cmn,cmn,0.9998152852058411,yue,0.9988488554954529,tur,0.37822940945625305
cmn,cmn,0.9996174573898315,yue,1.0000100135803223,tur,0.751944363117218
cmn,cmn,0.9993782043457031,yue,0.9911249876022339,lim,0.2218194454908371
cmn,cmn,0.9996846914291382,yue,0.5154420733451843,fin,0.1304021030664444
cmn,cmn,0.9995514750480652,yue,1.0000100135803223,tur,0.061523910611867905
cmn,cmn,0.9998421669006348,yue,1.0000097751617432,ces,0.1313488632440567
cmn,cmn,0.9996520280838013,yue,0.9192816019058228,ces,0.4550405442714691
cmn,cmn,0.9992712140083313,zho,0.9985283017158508,deu,0.29969748854637146
cmn,cmn,0.9993680119514465,tur,0.6369885802268982,deu,0.5865799188613892
cmn,cmn,0.9997933506965637,yue,0.9818530678749084,hun,0.33025163412094116
cmn,cmn,0.999758780002594,yue,0.4744887351989746,chv,0.06794429570436478
cmn,cmn,0.9996328353881836,yue,0.6910744905471802,azj,0.3011699616909027
cmn,cmn,0.9998849630355835,yue,0.8023112416267395,deu,0.2666287124156952
cmn,cmn,0.999488115310669,yue,0.9243524074554443,hun,0.4277254343032837
