,precision,recall,f1-score,support
pol_Latn,1.0,1.0,1.0,1012.0
cat_Latn,1.0,1.0,1.0,1012.0
mya_Mymr,1.0,1.0,1.0,1012.0
hau_Latn,0.9970443349753695,1.0,0.9985199802664035,1012.0
pan_Guru,1.0,1.0,1.0,1012.0
mlt_Latn,0.9990128331688055,1.0,0.9995061728395062,1012.0
fuv_Latn,1.0,0.9861660079051383,0.9930348258706468,1012.0
mri_Latn,1.0,1.0,1.0,1012.0
uzn_Latn,0.9990128331688055,1.0,0.9995061728395062,1012.0
snd_Arab,1.0,1.0,1.0,1012.0
umb_Latn,1.0,0.974308300395257,0.9869869869869871,1012.0
nso_Latn,1.0,0.9970355731225297,0.9985155863433943,1012.0
pbt_Arab,1.0,1.0,1.0,1012.0
dan_Latn,0.997029702970297,0.9950592885375494,0.9960435212660732,1012.0
ron_Latn,1.0,0.9990118577075099,0.9995056846267919,1012.0
hun_Latn,0.9990118577075099,0.9990118577075099,0.9990118577075099,1012.0
zsm_Latn,0.9910313901345291,0.8735177865612648,0.9285714285714286,1012.0
spa_Latn,0.9931305201177625,1.0,0.9965534219596258,1012.0
zho_Hans,0.0,0.0,0.0,1012.0
lin_Latn,1.0,0.9980237154150198,0.9990108803165183,1012.0
som_Latn,1.0,1.0,1.0,1012.0
deu_Latn,1.0,0.9990118577075099,0.9995056846267919,1012.0
mal_Mlym,1.0,1.0,1.0,1012.0
nya_Latn,1.0,0.9970355731225297,0.9985155863433943,1012.0
kat_Geor,1.0,1.0,1.0,1012.0
azj_Latn,1.0,1.0,1.0,1012.0
nob_Latn,0.9950396825396826,0.991106719367589,0.9930693069306931,1012.0
ita_Latn,0.9990118577075099,0.9990118577075099,0.9990118577075099,1012.0
glg_Latn,0.999009900990099,0.9970355731225297,0.9980217606330365,1012.0
zul_Latn,0.992827868852459,0.9575098814229249,0.9748490945674044,1012.0
por_Latn,0.9960629921259843,1.0,0.9980276134122288,1012.0
kan_Knda,1.0,1.0,1.0,1012.0
asm_Beng,1.0,1.0,1.0,1012.0
hrv_Latn,0.6335978835978836,0.9466403162055336,0.7591125198098256,1012.0
sna_Latn,1.0,1.0,1.0,1012.0
kir_Cyrl,1.0,1.0,1.0,1012.0
slv_Latn,0.9970443349753695,1.0,0.9985199802664035,1012.0
ceb_Latn,1.0,0.9940711462450593,0.9970267591674926,1012.0
bul_Cyrl,1.0,1.0,1.0,1012.0
fin_Latn,1.0,1.0,1.0,1012.0
kor_Hang,1.0,1.0,1.0,1012.0
lvs_Latn,1.0,1.0,1.0,1012.0
vie_Latn,1.0,1.0,1.0,1012.0
lit_Latn,1.0,0.9990118577075099,0.9995056846267919,1012.0
fra_Latn,1.0,1.0,1.0,1012.0
kam_Latn,1.0,0.9575098814229249,0.9782937910146391,1012.0
jav_Latn,0.9990128331688055,1.0,0.9995061728395062,1012.0
ell_Grek,1.0,1.0,1.0,1012.0
srp_Cyrl,1.0,1.0,1.0,1012.0
ckb_Arab,1.0,0.9920948616600791,0.996031746031746,1012.0
arb_Arab,1.0,0.8517786561264822,0.919957310565635,1012.0
ory_Orya,1.0,1.0,1.0,1012.0
khk_Cyrl,1.0,1.0,1.0,1012.0
bel_Cyrl,1.0,1.0,1.0,1012.0
gle_Latn,1.0,1.0,1.0,1012.0
ibo_Latn,1.0,0.9990118577075099,0.9995056846267919,1012.0
yor_Latn,1.0,0.9990118577075099,0.9995056846267919,1012.0
rus_Cyrl,1.0,1.0,1.0,1012.0
guj_Gujr,1.0,1.0,1.0,1012.0
tgk_Cyrl,1.0,1.0,1.0,1012.0
mar_Deva,1.0,1.0,1.0,1012.0
mkd_Cyrl,1.0,1.0,1.0,1012.0
urd_Arab,1.0,0.9990118577075099,0.9995056846267919,1012.0
oci_Latn,1.0,1.0,1.0,1012.0
amh_Ethi,1.0,1.0,1.0,1012.0
npi_Deva,1.0,1.0,1.0,1012.0
heb_Hebr,1.0,1.0,1.0,1012.0
bos_Latn,0.892,0.4407114624505929,0.58994708994709,1012.0
swh_Latn,0.9694280078895463,0.9713438735177866,0.9703849950641658,1012.0
luo_Latn,1.0,0.9990118577075099,0.9995056846267919,1012.0
tam_Taml,1.0,1.0,1.0,1012.0
ukr_Cyrl,1.0,1.0,1.0,1012.0
pes_Arab,0.0,0.0,0.0,1012.0
ast_Latn,0.996031746031746,0.9920948616600791,0.994059405940594,1012.0
ind_Latn,0.8870255957634599,0.9930830039525692,0.9370629370629371,1012.0
hin_Deva,1.0,0.9970355731225297,0.9985155863433943,1012.0
zho_Hant,0.0,0.0,0.0,1012.0
isl_Latn,1.0,0.9990118577075099,0.9995056846267919,1012.0
khm_Khmr,1.0,0.9990118577075099,0.9995056846267919,1012.0
hye_Armn,1.0,1.0,1.0,1012.0
ben_Beng,1.0,1.0,1.0,1012.0
ltz_Latn,1.0,0.9990118577075099,0.9995056846267919,1012.0
tur_Latn,1.0,1.0,1.0,1012.0
tel_Telu,1.0,1.0,1.0,1012.0
est_Latn,0.0,0.0,0.0,1012.0
cym_Latn,1.0,1.0,1.0,1012.0
ces_Latn,1.0,1.0,1.0,1012.0
lug_Latn,0.9990059642147118,0.9930830039525692,0.9960356788899902,1012.0
wol_Latn,1.0,0.9990118577075099,0.9995056846267919,1012.0
tha_Thai,1.0,1.0,1.0,1012.0
nld_Latn,1.0,0.9990118577075099,0.9995056846267919,1012.0
eng_Latn,0.9931305201177625,1.0,0.9965534219596258,1012.0
slk_Latn,0.9990128331688055,1.0,0.9995061728395062,1012.0
afr_Latn,1.0,1.0,1.0,1012.0
kaz_Cyrl,1.0,0.9990118577075099,0.9995056846267919,1012.0
xho_Latn,0.9872423945044161,0.9940711462450593,0.9906450024618414,1012.0
kea_Latn,1.0,0.9476284584980237,0.9731100963977676,1012.0
lao_Laoo,1.0,0.9990118577075099,0.9995056846267919,1012.0
gaz_Latn,1.0,1.0,1.0,1012.0
swe_Latn,1.0,1.0,1.0,1012.0
jpn_Jpan,1.0,1.0,1.0,1012.0
tgl_Latn,1.0,0.9990118577075099,0.9995056846267919,1012.0
micro avg,0.9915099876545709,0.9492269239711695,0.9699078427684784,103224.0
macro avg,0.9540172341950129,0.9492269239711696,0.9504275489271167,103224.0
weighted avg,0.9540172341950129,0.9492269239711695,0.9504275489271167,103224.0
