,sentence,language,lang_id,fasttext,audio
0,lodin het ook gesê dat hulle besluit het om die afloop te kanselleer om afgane se geld te spaar en te beskerm teen die sekuriteitsrisiko van nog 'n verkiesing,Afrikaans,0,afr_Latn,afr
1,die son het nie 'n kors soos die aarde waarop jy kan staan nie die hele son bestaan uit gasse vuur en plasma,Afrikaans,0,afr_Latn,afr
2,in frankryk was stemming 'n tradisioneel lae tegnologie ervaring kiesers isoleer hulself in 'n hokkie en sit dan 'n voorafgedrukte vel papier wat die kandidaat van hul keuse aandui in 'n koevert,Afrikaans,0,afr_Latn,afr
3,alle burgers van die vatikaan stad is rooms katoliek,Afrikaans,0,afr_Latn,afr
4,vir daardie rede als wat jy op die tv sien het die kante gesny bo onder en kante,Afrikaans,0,afr_Latn,afr
5,daar is verkeie skattings van hoeveel mense hindi praat dit is geskat dat dit tussen die tweede en vierde mees algemene' gesproke taal ter wêreld is,Afrikaans,0,afr_Latn,afr
6,komen se beleid het beplande ouerskap gediskwalifiseer as gevolg van 'n onbesliste ondersoek oor hoe beplande ouerskap se verteenwoordiger cliff sterns hulle geld spandeer het en gerapporteer wat uitgevoer is,Afrikaans,0,afr_Latn,afr
7,so ver soos ons weet is daar slegs een planeetliggaam wat meer dinamika as titaan ten toon stel en sy naam is aarde het stofan bygevoeg,Afrikaans,0,afr_Latn,afr
8,die militaristiese aard van die romeinse ryk het gehelp met die ontwikkeling van mediese vooruitgang,Afrikaans,0,afr_Latn,afr
9,komete mag moontlik 'n bron van water aflewering aan die aarde wees saam met organiese materie wat proteine kan vorm en lewe ondersteun,Afrikaans,0,afr_Latn,afr
10,die vereistes hang dikwels af van watter lande die reisiger besoek het of wil besoek,Afrikaans,0,afr_Latn,afr
11,rakend die globale finansiële situasie het zapatero voortgegaan deur te sê dat die deur te sê dat die finansiële sisteem is 'n deel van die ekonomie 'n aansienlike deel,Afrikaans,0,afr_Latn,afr
12,donker energie is 'n geheel en al onsigbare krag wat konstant inwerk op die heelal,Afrikaans,0,afr_Latn,afr
