language,speech_prediction,speech_probability,text_prediction,text_probability,asr_prediction,asr_probability
bos,hrv,0.995475709438324,bos,0.5067077279090881,bos,0.5124735236167908
bos,bos,0.9285005927085876,hrv,0.5531668663024902,bos,0.6445815563201904
bos,srp,0.7015224695205688,bos,0.9520559310913086,bos,0.9470884203910828
bos,hrv,0.9985334873199463,hrv,0.6906886696815491,hrv,0.7867910861968994
bos,bos,0.9959184527397156,hrv,0.5372319221496582,hrv,0.744657576084137
bos,bos,0.9978118538856506,hrv,0.5799582600593567,bos,0.5924525260925293
bos,bos,0.9883146286010742,hrv,0.9468703866004944,hrv,0.9595789313316345
bos,hrv,0.9846968650817871,hrv,0.6361010074615479,hrv,0.5930192470550537
bos,bos,0.9989625215530396,bos,0.7477372884750366,bos,0.7928928732872009
bos,bos,0.998316764831543,hrv,0.6978206634521484,hrv,0.7747353315353394
bos,hrv,0.9301140308380127,bos,0.9114420413970947,bos,0.8241726160049438
bos,bos,0.998818576335907,hrv,0.8043596148490906,hrv,0.890365719795227
bos,bos,0.3802601397037506,bos,0.614223062992096,hrv,0.6219969391822815
bos,bos,0.9991198182106018,bos,0.753682017326355,bos,0.6278762817382812
bos,hrv,0.7648361921310425,hrv,0.5678558945655823,bos,0.7448341846466064
bos,bos,0.9833478331565857,bos,0.8979798555374146,bos,0.9362511038780212
bos,bos,0.9980771541595459,hrv,0.5673590898513794,bos,0.5379916429519653
bos,hrv,0.6453110575675964,bos,0.6745772957801819,bos,0.5531501770019531
bos,hrv,0.9468114972114563,bos,0.9509699940681458,bos,0.9873523712158203
bos,hrv,0.6551453471183777,hrv,0.6551505923271179,hrv,0.6954820156097412
bos,bos,0.9942688941955566,bos,0.5310069918632507,bos,0.5254356861114502
bos,bos,0.999004065990448,hrv,0.7142049670219421,bos,0.5104857087135315
bos,bos,0.7943422794342041,hrv,0.5660960078239441,bos,0.5991898775100708
bos,srp,0.7864109873771667,bos,0.6227444410324097,bos,0.7000500559806824
bos,bos,0.9988068342208862,bos,0.8203551173210144,bos,0.8319137096405029
bos,bos,0.9911912083625793,hrv,0.6551505923271179,bos,0.5575276613235474
bos,bos,0.9947852492332458,hrv,0.6550668478012085,hrv,0.6438772082328796
bos,bos,0.9738673567771912,bos,0.9008855819702148,bos,0.7575040459632874
bos,bos,0.985162079334259,hrv,0.7007392048835754,bos,0.7149294018745422
bos,bos,0.9990677237510681,hrv,0.6429829597473145,bos,0.6730556488037109
bos,bos,0.9992913007736206,bos,0.9488430023193359,bos,0.9229030013084412
bos,bos,0.9963764548301697,bos,0.6521453261375427,hrv,0.5011014342308044
bos,bos,0.6313762068748474,bos,0.882209837436676,bos,0.8207358121871948
bos,bos,0.9991256594657898,bos,0.5754775404930115,bos,0.6955695748329163
bos,bos,0.997617781162262,hrv,0.8602481484413147,hrv,0.7735705971717834
bos,bos,0.8599207997322083,bos,0.882209837436676,bos,0.824463427066803
bos,bos,0.9980965256690979,hrv,0.5566825866699219,bos,0.5164108276367188
bos,bos,0.9976354837417603,bos,0.6323767304420471,bos,0.7160491943359375
bos,hrv,0.6399914026260376,bos,0.824003279209137,bos,0.8087834715843201
bos,bos,0.9824511408805847,hrv,0.7107964754104614,bos,0.5199955701828003
bos,bos,0.9991101622581482,hrv,0.8791168332099915,hrv,0.8901815414428711
bos,bos,0.7538444399833679,hrv,0.9011642932891846,hrv,0.8205469250679016
bos,bos,0.9915110468864441,hrv,0.5100884437561035,hrv,0.7014647722244263
bos,bos,0.9501951932907104,hrv,0.5660960078239441,hrv,0.6599151492118835
bos,hrv,0.5974231362342834,bos,0.7477372884750366,bos,0.7873647212982178
bos,srp,0.4965924322605133,hrv,0.6550668478012085,bos,0.5093914270401001
bos,hrv,0.9128045439720154,hrv,0.7636838555335999,hrv,0.5462335348129272
bos,bos,0.9984709620475769,hrv,0.8959793448448181,hrv,0.8911997079849243
bos,bos,0.9992635846138,bos,0.6540442109107971,hrv,0.5615469217300415
bos,bos,0.9990566372871399,bos,0.7651046514511108,bos,0.7467696070671082
bos,bos,0.9986099004745483,bos,0.5231044292449951,hrv,0.6913642287254333
bos,bos,0.9880687594413757,hrv,0.592103898525238,bos,0.6572309732437134
